name,area,totalRatingsString,deliveryTime,minDeliveryTime,maxDeliveryTime,costForTwoString+
The King S Chinese And Fast Food, Malad Kan East,Too Few Ratings, 28,28,28,₹250 FOR TWO
Grameen Kulfi, Kandivali East,20+ ratings, 17,17,17,₹120 FOR TWO
2 Delicious Poha House, Malad Kan East,50+ ratings, 20,20,20,₹60 FOR TWO
Momo Mia, Dheeraj Regancy,Too Few Ratings, 27,27,27,₹115 FOR TWO
Wowie MOMO, Kandivali East,Too Few Ratings, 28,28,28,₹200 FOR TWO
PAVBHAJI BISTRO, Malad Kan East,Too Few Ratings, 27,27,27,₹300 FOR TWO
The Momo Factor, Malad Kan East,Too Few Ratings, 29,29,29,₹115 FOR TWO
PIZZA BY SLICE, Malad Kan East,Too Few Ratings, 27,27,27,₹300 FOR TWO
MOGO Pizza, Kandivali East,20+ ratings, 28,28,28,₹250 FOR TWO
Pizza Hub, Malad Kan East,Too Few Ratings, 28,28,28,₹300 FOR TWO
Taste Of Kolkata, Kandivali East,20+ ratings, 30,30,30,₹450 FOR TWO
Bhukkad Garage, Malad Kan East,20+ ratings, 33,33,33,₹250 FOR TWO
Foodys guys, Malad Kan East,Too Few Ratings, 25,25,25,₹200 FOR TWO
Akkad Bakkad Bombay Boo - AB3, Kandivali East,Too Few Ratings, 23,23,23,₹350 FOR TWO
Smokin' Joe's, Kandivali East,20+ ratings, 26,26,26,₹650 FOR TWO
Amul Ice Cream Parlour, Thakur Village,20+ ratings, 19,19,19,₹200 FOR TWO
MUMBAI CAKE COMPANY, Malad Kan East,Too Few Ratings, 29,29,29,₹400 FOR TWO
Tandav Tea Company, Malad Kan East,Too Few Ratings, 26,26,26,₹100 FOR TWO
Fill & Chill Ice-cream Parlor, Mumbai,20+ ratings, 38,38,38,₹400 FOR TWO
Burgerizza, Malad Kan East,Too Few Ratings, 29,29,29,₹300 FOR TWO
Sand-Witch Club, Pizza Story,Too Few Ratings, 21,21,21,₹199 FOR TWO
Raju's Kitchen,  SARAAF CHOUDHARY NAGAR,50+ ratings, 30,30,30,₹350 FOR TWO
Natural Ice Cream, Avenue Hotel,20+ ratings, 16,16,16,₹150 FOR TWO
The Wafflemeister, Kandivali East,100+ ratings, 29,29,29,₹100 FOR TWO
Mishra Pan Bhandar, Malad Kan East,Too Few Ratings, 23,23,23,₹100 FOR TWO
Banglore Iyengar Bakery, Malad Kan East,Too Few Ratings, 17,17,17,₹100 FOR TWO
Patanwala, Thakur complex,Too Few Ratings, 17,17,17,₹300 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop, Malad Kan East,20+ ratings, 19,19,19,₹200 FOR TWO
Central Prabhu, Borivali East,1000+ ratings, 27,27,27,₹400 FOR TWO
Bhukkad Chinese, Malad kan east,Too Few Ratings, 25,25,25,₹300 FOR TWO
The Paratha House, Malad Kan East,Too Few Ratings, 31,31,31,₹199 FOR TWO
Bhukkad Thali & Combo, Malad Kan East,Too Few Ratings, 29,29,29,₹500 FOR TWO
Bhukkad Biryani, Malad Kan East,Too Few Ratings, 32,32,32,₹500 FOR TWO
Swaad Kokancha, Kandivali East,Too Few Ratings, 28,28,28,₹500 FOR TWO
BlackBun, Malad Kan East,Too Few Ratings, 18,18,18,₹600 FOR TWO
HOTEL ROYAL KARBHAR, Borivali,Too Few Ratings, 38,38,38,₹300 FOR TWO
Mad Over Donuts, Kandivali East,100+ ratings, 22,22,22,₹200 FOR TWO
Su - Swagat, Borivali,20+ ratings, 30,30,30,₹500 FOR TWO
Vividham Sweets and Dryfruits, Borivali East,20+ ratings, 21,21,21,₹400 FOR TWO
Nat Khat Pav Bhaji And Snacks Corner, Malad Kan East,20+ ratings, 29,29,29,₹100 FOR TWO
Shivam Sundaram, Express Highway,100+ ratings, 26,26,26,₹500 FOR TWO
Taco Bell, Kandivali East,500+ ratings, 23,23,23,₹300 FOR TWO
Suruchi Veg Restaurant, Malad Kan East,100+ ratings, 23,23,23,₹300 FOR TWO
Haldiram's Restaurant, Malad Kan East,1000+ ratings, 24,24,24,₹300 FOR TWO
Glaciers Cakes And More, Malad Kan East,Too Few Ratings, 24,24,24,₹350 FOR TWO
Flaming tadka, Malad Kan East,Too Few Ratings, 31,31,31,₹300 FOR TWO
Mitron Kandivali, Malad Kan East,Too Few Ratings, 25,25,25,₹950 FOR TWO
Oye Paratha House, Malad Kan East,Too Few Ratings, 36,36,36,₹299 FOR TWO
Rabdi Wala, Mumbai,1000+ ratings, 28,28,28,₹400 FOR TWO
UBQ BY Barbeque Nation, Kandivali East,100+ ratings, 29,29,29,₹300 FOR TWO
The Shivaay, Kandivali East,20+ ratings, 28,28,28,₹600 FOR TWO
PARATHE WALI GULLI, Malad Kan East,Too Few Ratings, 29,29,29,₹450 FOR TWO
The Foodstagram, Kandivali East,Too Few Ratings, 30,30,30,₹600 FOR TWO
China's Towns, Malad Kan East,Too Few Ratings, 21,21,21,₹600 FOR TWO
Swad deshi mataka, Borivali East,Too Few Ratings, 29,29,29,₹340 FOR TWO
Domino's Pizza, Kandivali East,100+ ratings, 30,30,30,₹400 FOR TWO
Cookie Man, Kandivali East,20+ ratings, 31,31,31,₹140 FOR TWO
Barbeque Nation, Kandivali East,100+ ratings, 29,29,29,₹600 FOR TWO
Gaurav Sweets And Namkeen, Malad Kan East,Too Few Ratings, 28,28,28,₹200 FOR TWO
Sbarro - New York Pizza, Kandivali East,100+ ratings, 27,27,27,₹600 FOR TWO
SAARATHI RESTAURANT AND BAR, Malad Kan East,Too Few Ratings, 29,29,29,₹500 FOR TWO
Tea Square Bar, Malad Kan East,Too Few Ratings, 29,29,29,₹300 FOR TWO
De Firrrangi cafe, Malad Kan East,Too Few Ratings, 25,25,25,₹399 FOR TWO
Cake4u, Kandivali East,20+ ratings, 28,28,28,₹500 FOR TWO
Pooja Chinese, Malad Kan East,Too Few Ratings, 30,30,30,₹400 FOR TWO
Surbhi Sweets And Snacks, Dahisar East,100+ ratings, 22,22,22,₹200 FOR TWO
High on cafe, Akruli Road,Too Few Ratings, 35,35,35,₹400 FOR TWO
Raja Chinese & Tandoor Corner, Kandivali West,100+ ratings, 28,28,28,₹200 FOR TWO
Wow! Momo, Kandivali East,100+ ratings, 28,28,28,₹300 FOR TWO
SHAIKH BIRYANI CENTER AND CHINESE, Malad kan east,Too Few Ratings, 32,32,32,₹300 FOR TWO
Kavita's Evening Kitchen, Kandivali East,20+ ratings, 36,36,36,₹500 FOR TWO
100ML CHAI, Malad Kan East,Too Few Ratings, 33,33,33,₹100 FOR TWO
